formula,AIC,BIC
correctness ~ (1|participant_id),658.728504,667.285547
correctness ~ (1|problem_id),511.362472,519.919515
correctness ~ (1|participant_id) + (1|problem_id),489.224853,502.060418
correctness ~ TMS_Type + (1|participant_id),659.683904,672.519469
correctness ~ TMS_Type + (1|problem_id),511.955272,524.790836
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id),489.996178,507.110264
correctness ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),660.726921,677.841007
correctness ~ TMS_Type + (1|problem_id) + (1|problem_id:TMS_Type),513.955271,531.069357
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),481.860314,503.252921
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),491.996162,513.388770
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),483.860328,509.531457
correctness ~ session + (1|participant_id),659.111619,671.947183
correctness ~ session + (1|problem_id),510.410444,523.246008
correctness ~ session + (1|participant_id) + (1|problem_id),487.588280,504.702366
correctness ~ coding_section_no + (1|participant_id),649.715298,662.550862
correctness ~ coding_section_no + (1|problem_id),502.270618,515.106183
correctness ~ coding_section_no + (1|participant_id) + (1|problem_id),479.345902,496.459988
correctness ~ problem_order + (1|participant_id),660.204207,673.039772
correctness ~ problem_order + (1|problem_id),512.266272,525.101836
correctness ~ problem_order + (1|participant_id) + (1|problem_id),490.597543,507.711629
correctness ~ problem_set + (1|participant_id),659.373580,672.209145
correctness ~ problem_set + (1|problem_id),511.858046,524.693610
correctness ~ problem_set + (1|participant_id) + (1|problem_id),490.418470,507.532556
correctness ~ pain + (1|participant_id),659.588997,672.424561
correctness ~ pain + (1|problem_id),513.278577,526.114141
correctness ~ pain + (1|participant_id) + (1|problem_id),489.118954,506.233039
correctness ~ physical_symptoms + (1|participant_id),660.616084,673.451648
correctness ~ physical_symptoms + (1|problem_id),512.915675,525.751239
correctness ~ physical_symptoms + (1|participant_id) + (1|problem_id),491.219239,508.333324
correctness ~ discomfort + (1|participant_id),659.319520,672.155084
correctness ~ discomfort + (1|problem_id),512.666258,525.501823
correctness ~ discomfort + (1|participant_id) + (1|problem_id),487.919191,505.033277
correctness ~ sensations + (1|participant_id),659.519341,672.354906
correctness ~ sensations + (1|problem_id),511.449454,524.285019
correctness ~ sensations + (1|participant_id) + (1|problem_id),488.241558,505.355644
correctness ~ TMS_Type + session + (1|participant_id),660.198266,677.312351
correctness ~ TMS_Type + session + (1|problem_id),511.207713,528.321799
correctness ~ TMS_Type + session + (1|participant_id) + (1|problem_id),488.566054,509.958661
correctness ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type),661.547211,682.939818
correctness ~ TMS_Type + session + (1|problem_id) + (1|problem_id:TMS_Type),513.207712,534.600319
correctness ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),482.185267,507.856395
correctness ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),490.566025,516.237153
correctness ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),484.185292,514.134942
correctness ~ TMS_Type + coding_section_no + (1|participant_id),650.796864,667.910949
correctness ~ TMS_Type + coding_section_no + (1|problem_id),503.114683,520.228769
correctness ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id),480.319995,501.712602
correctness ~ TMS_Type + coding_section_no + (1|participant_id) + (1|participant_id:TMS_Type),651.816424,673.209031
correctness ~ TMS_Type + coding_section_no + (1|problem_id) + (1|problem_id:TMS_Type),505.114681,526.507288
correctness ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),472.252937,497.924066
correctness ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),482.319957,507.991086
correctness ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),474.252937,504.202587
correctness ~ TMS_Type + problem_order + (1|participant_id),661.206442,678.320528
correctness ~ TMS_Type + problem_order + (1|problem_id),513.002144,530.116230
correctness ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id),491.495101,512.887708
correctness ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type),662.178182,683.570789
correctness ~ TMS_Type + problem_order + (1|problem_id) + (1|problem_id:TMS_Type),515.002143,536.394750
correctness ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.336627,509.007755
correctness ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),493.495084,519.166213
correctness ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.336640,515.286290
correctness ~ TMS_Type + problem_set + (1|participant_id),660.528559,677.642645
correctness ~ TMS_Type + problem_set + (1|problem_id),512.663464,529.777550
correctness ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id),491.329609,512.722217
correctness ~ TMS_Type + problem_set + (1|participant_id) + (1|participant_id:TMS_Type),661.600198,682.992805
correctness ~ TMS_Type + problem_set + (1|problem_id) + (1|problem_id:TMS_Type),514.663460,536.056067
correctness ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.052247,508.723376
correctness ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),493.329570,519.000699
correctness ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.052297,515.001947
correctness ~ session + coding_section_no + (1|participant_id),650.181122,667.295208
correctness ~ session + coding_section_no + (1|problem_id),501.233517,518.347602
correctness ~ session + coding_section_no + (1|participant_id) + (1|problem_id),477.675475,499.068082
correctness ~ session + problem_order + (1|participant_id),660.638008,677.752094
correctness ~ session + problem_order + (1|problem_id),511.403862,528.517948
correctness ~ session + problem_order + (1|participant_id) + (1|problem_id),489.080253,510.472860
correctness ~ session + problem_set + (1|participant_id),659.646419,676.760505
correctness ~ session + problem_set + (1|problem_id),510.591413,527.705499
correctness ~ session + problem_set + (1|participant_id) + (1|problem_id),488.577030,509.969637
correctness ~ problem_set + coding_section_no + (1|participant_id),650.465932,667.580018
correctness ~ problem_set + coding_section_no + (1|problem_id),502.580206,519.694292
correctness ~ problem_set + coding_section_no + (1|participant_id) + (1|problem_id),480.456388,501.848995
correctness ~ problem_set + problem_order + (1|participant_id),660.834105,677.948190
correctness ~ problem_set + problem_order + (1|problem_id),512.756995,529.871081
correctness ~ problem_set + problem_order + (1|participant_id) + (1|problem_id),491.778752,513.171359
correctness ~ coding_section_no + problem_order + (1|participant_id),651.462693,668.576778
correctness ~ coding_section_no + problem_order + (1|problem_id),503.738639,520.852724
correctness ~ coding_section_no + problem_order + (1|participant_id) + (1|problem_id),481.034183,502.426790
correctness ~ TMS_Type + pain + (1|participant_id),660.919488,678.033574
correctness ~ TMS_Type + pain + (1|problem_id),513.950559,531.064645
correctness ~ TMS_Type + pain + (1|participant_id) + (1|problem_id),490.539158,511.931765
correctness ~ TMS_Type + pain + (1|participant_id) + (1|participant_id:TMS_Type),662.270134,683.662741
correctness ~ TMS_Type + pain + (1|problem_id) + (1|problem_id:TMS_Type),515.950558,537.343165
correctness ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.704882,509.376010
correctness ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),492.539137,518.210266
correctness ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.704898,515.654548
correctness ~ TMS_Type + physical_symptoms + (1|participant_id),661.683869,678.797954
correctness ~ TMS_Type + physical_symptoms + (1|problem_id),513.836004,530.950090
correctness ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id),491.879292,513.271899
correctness ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|participant_id:TMS_Type),662.674912,684.067519
correctness ~ TMS_Type + physical_symptoms + (1|problem_id) + (1|problem_id:TMS_Type),515.836003,537.228610
correctness ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.771624,509.442753
correctness ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),493.879275,519.550404
correctness ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.771641,515.721291
correctness ~ TMS_Type + discomfort + (1|participant_id),660.994751,678.108837
correctness ~ TMS_Type + discomfort + (1|problem_id),513.800945,530.915030
correctness ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id),489.817251,511.209858
correctness ~ TMS_Type + discomfort + (1|participant_id) + (1|participant_id:TMS_Type),662.385836,683.778443
correctness ~ TMS_Type + discomfort + (1|problem_id) + (1|problem_id:TMS_Type),515.800943,537.193550
correctness ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.559543,509.230672
